user_id,cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,3
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,3
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,3
42,1
43,1
44,1
45,3
46,1
47,1
48,1
49,1
50,1
51,1
52,3
53,3
54,1
55,3
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,3
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,3
75,1
76,1
77,3
78,3
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,3
88,1
89,1
90,1
91,1
92,1
93,3
94,1
95,1
96,1
97,3
98,1
99,1
100,1
101,1
102,1
103,3
104,1
105,1
106,1
107,3
108,1
109,1
110,3
111,1
112,1
113,1
114,1
115,3
116,1
117,1
118,1
119,3
120,3
121,1
122,1
123,3
124,3
125,1
126,3
127,3
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,3
138,1
139,1
140,1
141,1
142,1
143,1
144,3
145,1
146,1
147,1
148,3
149,3
150,1
151,1
152,1
153,3
154,1
155,1
156,1
157,1
158,3
159,1
160,1
161,1
162,1
163,3
164,3
165,1
166,3
167,1
168,1
169,1
170,3
171,1
172,1
173,1
174,1
175,3
176,1
177,3
178,1
179,1
180,1
181,1
182,3
183,1
184,1
185,3
186,1
187,1
188,1
189,1
190,1
191,3
192,1
193,1
194,1
195,3
196,3
197,3
198,1
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,1
209,3
210,1
211,3
212,1
213,3
214,3
215,3
216,1
217,3
218,3
219,3
220,1
221,3
222,3
223,3
224,1
225,1
226,1
227,1
228,3
229,3
230,3
231,3
232,3
233,1
234,1
235,3
236,3
237,3
238,3
239,1
240,3
241,1
242,3
243,3
244,3
245,1
246,3
247,1
248,1
249,3
250,1
251,3
252,1
253,3
254,3
255,1
256,1
257,3
258,3
259,1
260,1
261,1
262,1
263,1
264,3
265,1
266,1
267,3
268,3
269,1
270,3
271,3
272,3
273,3
274,3
275,3
276,1
277,1
278,3
279,3
280,3
281,1
282,3
283,3
284,1
285,3
286,3
287,1
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,1
299,1
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,1
312,3
313,3
314,1
315,1
316,3
317,3
318,3
319,1
320,3
321,3
322,1
323,1
324,3
325,3
326,3
327,3
328,1
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,1
337,3
338,3
339,1
340,3
341,3
342,3
343,3
344,3
345,1
346,1
347,3
348,3
349,3
350,3
351,1
352,1
353,3
354,3
355,3
356,1
357,1
358,3
359,3
360,1
361,3
362,1
363,1
364,3
365,1
366,1
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,1
377,3
378,3
379,3
380,1
381,1
382,3
383,3
384,3
385,3
386,3
387,1
388,1
389,1
390,3
391,1
392,3
393,1
394,3
395,3
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,2
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,3
599,2
600,2
601,1
602,1
603,2
604,2
605,2
606,2
607,1
608,2
609,2
610,2
611,2
612,1
613,1
614,2
615,2
616,2
617,1
618,2
619,1
620,2
621,1
622,2
623,2
624,1
625,1
626,2
627,1
628,2
629,2
630,2
631,2
632,2
633,1
634,2
635,2
636,1
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,1
646,2
647,2
648,2
649,2
650,1
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,1
659,1
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,2
669,2
670,2
671,2
672,1
673,1
674,2
675,2
676,1
677,2
678,2
679,2
680,1
681,2
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,1
692,2
693,1
694,2
695,2
696,1
697,1
698,2
699,2
700,2
701,2
702,1
703,2
704,2
705,2
706,2
707,1
708,2
709,2
710,2
711,2
712,1
713,2
714,1
715,1
716,1
717,2
718,2
719,1
720,2
721,1
722,2
723,0
724,2
725,1
726,2
727,2
728,2
729,1
730,0
731,2
732,2
733,2
734,2
735,2
736,2
737,2
738,2
739,0
740,2
741,2
742,2
743,1
744,2
745,2
746,2
747,2
748,1
749,2
750,1
751,2
752,2
753,1
754,2
755,2
756,2
757,1
758,1
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,1
768,2
769,2
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,1
778,2
779,2
780,2
781,1
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,1
792,1
793,2
794,2
795,1
796,2
797,2
798,1
799,2
800,2
801,1
802,2
803,2
804,2
805,2
806,1
807,1
808,1
809,1
810,2
811,1
