season,week_num,celebrity_name,estimated_p,rule_group,is_s28_plus,is_final_week,optimization_status,smooth_tol_used,eliminated_this_week,J,norm_J,elim_week,celebrity_industry,celebrity_age_during_season,is_winner
1,1,Evander Holyfield,0.16666666666666696,rank,False,False,optimal,0.2,False,18.0,0.7142857132653061,3,Athlete,42,False
1,1,Joey McIntyre,0.16666666666666696,rank,False,False,optimal,0.2,False,20.0,0.9999999985714286,5,Singer/Rapper,32,False
1,1,John O'Hurley,0.16666666666666696,rank,False,False,optimal,0.2,False,20.0,0.9999999985714286,6,Actor/Actress,50,False
1,1,Kelly Monaco,0.16666666666666696,rank,False,False,optimal,0.2,False,13.0,0.0,7,Actor/Actress,29,True
1,1,Rachel Hunter,0.16666666666666696,rank,False,False,optimal,0.2,False,20.0,0.9999999985714286,4,Model,35,False
1,1,Trista Sutter,0.16666666666666521,rank,False,False,optimal,0.2,False,18.0,0.7142857132653061,2,TV Personality,32,False
1,2,Evander Holyfield,0.41666666242981215,rank,False,False,optimal,none,False,14.0,0.0,3,Athlete,42,False
1,2,Joey McIntyre,0.13888704576591784,rank,False,False,optimal,none,False,21.0,0.5833333328472222,5,Singer/Rapper,32,False
1,2,John O'Hurley,0.1388900668411406,rank,False,False,optimal,none,False,26.0,0.9999999991666666,6,Actor/Actress,50,False
1,2,Kelly Monaco,0.16666666644526587,rank,False,False,optimal,none,False,17.0,0.2499999997916666,7,Actor/Actress,29,True
1,2,Rachel Hunter,0.13888954851786373,rank,False,False,optimal,none,False,24.0,0.8333333326388889,4,Model,35,False
1,2,Trista Sutter,9.999999901568259e-09,rank,False,False,optimal,none,True,19.0,0.4166666663194444,2,TV Personality,32,False
1,3,Evander Holyfield,0.33333333020757694,rank,False,False,optimal,0.2,True,13.0,0.4999999998076923,3,Athlete,42,False
1,3,Joey McIntyre,0.16249874256733862,rank,False,False,optimal,0.2,False,22.0,0.8461538458284024,5,Singer/Rapper,32,False
1,3,John O'Hurley,0.16250074144693796,rank,False,False,optimal,0.2,False,24.0,0.9230769227218936,6,Actor/Actress,50,False
1,3,Kelly Monaco,0.179166770421013,rank,False,False,optimal,0.2,False,21.0,0.8076923073816568,7,Actor/Actress,29,True
1,3,Rachel Hunter,0.16250041535713342,rank,False,False,optimal,0.2,False,26.0,0.9999999996153844,4,Model,35,False
1,4,Joey McIntyre,0.32442292523323124,rank,False,False,optimal,1.0,False,20.0,0.7692307689349113,5,Singer/Rapper,32,False
1,4,John O'Hurley,0.2859613867941207,rank,False,False,optimal,1.0,False,21.0,0.8076923073816568,6,Actor/Actress,50,False
1,4,Kelly Monaco,0.25750045497912505,rank,False,False,optimal,1.0,False,26.0,0.9999999996153844,7,Actor/Actress,29,True
1,4,Rachel Hunter,0.1321152329935231,rank,False,False,optimal,1.0,True,25.0,0.9615384611686392,4,Model,35,False
1,5,Joey McIntyre,0.35285276812581673,rank,False,False,optimal,0.5,True,22.5,0.8333333330246914,5,Singer/Rapper,32,False
1,5,John O'Hurley,0.33133149885728086,rank,False,False,optimal,0.5,False,27.0,0.9999999996296296,6,Actor/Actress,50,False
1,5,Kelly Monaco,0.3158157330169024,rank,False,False,optimal,0.5,False,23.5,0.870370370048011,7,Actor/Actress,29,True
1,6,John O'Hurley,0.504661907485062,rank,False,False,optimal,1.0,True,27.0,0.981818181461157,6,Actor/Actress,50,False
1,6,Kelly Monaco,0.4953380925149381,rank,False,False,optimal,1.0,False,27.5,0.9999999996363635,7,Actor/Actress,29,True
1,7,Kelly Monaco,1.0,rank,False,True,optimal,none,False,0.0,0.0,7,Actor/Actress,29,True
2,1,Drew Lachey,0.10000166354400566,rank,False,False,optimal,0.2,False,24.0,0.9999999991666666,9,Singer/Rapper,29,True
2,1,George Hamilton,0.0999974105104428,rank,False,False,optimal,0.2,False,18.0,0.4999999995833333,6,Actor/Actress,66,False
2,1,Giselle Fernandez,0.1000012823053102,rank,False,False,optimal,0.2,False,23.0,0.9166666659027776,3,News Anchor,44,False
2,1,Jerry Rice,0.10000008273750031,rank,False,False,optimal,0.2,False,21.0,0.749999999375,8,Athlete,43,False
2,1,Kenny Mayne,0.05833326787457949,rank,False,False,optimal,0.2,True,13.0,0.0833333332638888,1,Sports Broadcaster,46,False
2,1,Lisa Rinna,0.0999983741647178,rank,False,False,optimal,0.2,False,19.0,0.5833333328472222,7,Actor/Actress,42,False
2,1,Master P,0.14166660253279287,rank,False,False,optimal,0.2,False,12.0,0.0,4,Singer/Rapper,35,False
2,1,Stacy Keibler,0.1000007568384309,rank,False,False,optimal,0.2,False,22.0,0.8333333326388889,8,Athlete,26,False
2,1,Tatum O'Neal,0.1000012823053102,rank,False,False,optimal,0.2,False,23.0,0.9166666659027776,2,Actor/Actress,42,False
2,1,Tia Carrere,0.09999927718690986,rank,False,False,optimal,0.2,False,20.0,0.666666666111111,5,Actor/Actress,39,False
