Season,Week,Celebrity,Is_Eliminated,Method,Estimated_Fan_Support_Mean,CI_Width,Entropy,Acceptance_Rate,Validation_By_Mean
1,1,John O'Hurley,False,Rank,3.5005,5.0,1.791517011445922,1.0,True
1,1,Kelly Monaco,False,Rank,3.5154,5.0,1.7915951190110218,1.0,True
1,1,Evander Holyfield,False,Rank,3.4874,5.0,1.7916928447061184,1.0,True
1,1,Rachel Hunter,False,Rank,3.4964,5.0,1.7915495899858076,1.0,True
1,1,Joey McIntyre,False,Rank,3.5189,5.0,1.7913575411626852,1.0,True
1,1,Trista Sutter,False,Rank,3.4814,5.0,1.7916789419053898,1.0,True
1,2,John O'Hurley,False,Rank,3.7013251783893986,5.0,1.7533094589190914,0.0981,True
1,2,Kelly Monaco,False,Rank,2.543323139653415,3.0,1.3813466082943817,0.0981,True
1,2,Evander Holyfield,False,Rank,1.8521916411824668,2.0,1.0699791717736105,0.0981,True
1,2,Rachel Hunter,False,Rank,3.7349643221202853,5.0,1.7232876627746776,0.0981,True
1,2,Joey McIntyre,False,Rank,3.4108053007135575,4.0,1.5505921280605024,0.0981,True
1,2,Trista Sutter,True,Rank,5.757390417940877,1.0,0.5875432570218913,0.0981,True
1,3,John O'Hurley,False,Rank,2.9895691609977324,4.0,1.6081839907970483,0.441,True
1,3,Kelly Monaco,False,Rank,1.9668934240362812,3.0,1.2608742701341762,0.441,True
1,3,Evander Holyfield,True,Rank,4.03922902494331,3.0,1.2132439550673937,0.441,True
1,3,Rachel Hunter,False,Rank,3.056689342403628,4.0,1.6013377191519407,0.441,True
1,3,Joey McIntyre,False,Rank,2.947619047619048,4.0,1.607233673192813,0.441,True
1,4,John O'Hurley,False,Rank,1.5144578313253012,1.0,0.6927290645097569,0.083,True
1,4,Kelly Monaco,False,Rank,3.0,0.0,0.0,0.083,True
1,4,Rachel Hunter,True,Rank,4.0,0.0,0.0,0.083,True
1,4,Joey McIntyre,False,Rank,1.4855421686746988,1.0,0.6927290645097569,0.083,True
1,5,John O'Hurley,False,Rank,1.9662,2.0,1.0977536555774026,1.0,True
1,5,Kelly Monaco,False,Rank,2.0876,2.0,1.0925191723382628,1.0,True
1,5,Joey McIntyre,False,Rank,1.9462,2.0,1.0958816932256763,1.0,True
1,6,John O'Hurley,False,Rank,1.4954,1.0,0.693104859962931,1.0,True
1,6,Kelly Monaco,False,Rank,1.5046,1.0,0.693104859962931,1.0,True
2,1,Tatum O'Neal,False,Rank,5.486859688195991,9.0,2.3008195044521016,0.2245,True
2,1,Tia Carrere,False,Rank,5.264142538975501,9.0,2.2964636072295552,0.2245,True
2,1,George Hamilton,False,Rank,4.562583518930958,8.0,2.1663829612633316,0.2245,True
2,1,Lisa Rinna,False,Rank,5.025835189309577,9.0,2.2757053893973054,0.2245,True
2,1,Stacy Keibler,False,Rank,5.541202672605791,9.0,2.300076555293687,0.2245,True
2,1,Jerry Rice,False,Rank,5.426280623608018,9.0,2.3009190057160245,0.2245,True
2,1,Giselle Fernandez,False,Rank,5.4832962138084635,9.0,2.300901930999859,0.2245,True
2,1,Master P,False,Rank,3.980400890868597,7.0,2.036425891888463,0.2245,True
2,1,Drew Lachey,False,Rank,5.353229398663697,9.0,2.2989325371908684,0.2245,True
2,1,Kenny Mayne,True,Rank,8.876169265033408,4.0,1.4126633322164144,0.2245,True
2,2,Tatum O'Neal,True,Rank,7.815424610051993,4.0,1.4385759731229946,0.3462,True
2,2,Tia Carrere,False,Rank,4.760831889081456,8.0,2.18598463393284,0.3462,True
2,2,George Hamilton,False,Rank,4.635759676487579,8.0,2.1828439846969006,0.3462,True
2,2,Lisa Rinna,False,Rank,4.3437319468515305,8.0,2.1513764736104664,0.3462,True
2,2,Stacy Keibler,False,Rank,4.936741767764298,8.0,2.19445925450216,0.3462,True
2,2,Jerry Rice,False,Rank,4.853552859618717,8.0,2.1937173199545126,0.3462,True
2,2,Giselle Fernandez,False,Rank,4.954939341421144,8.0,2.19296691352517,0.3462,True
2,2,Master P,False,Rank,3.80473714615829,7.0,2.0223048690525576,0.3462,True
2,2,Drew Lachey,False,Rank,4.894280762564991,8.0,2.19336914260105,0.3462,True
2,3,Tia Carrere,False,Rank,4.726386806596702,7.0,2.0649606203281605,0.1334,True
2,3,George Hamilton,False,Rank,3.949775112443778,6.0,1.938837135076437,0.1334,True
2,3,Lisa Rinna,False,Rank,4.44752623688156,7.0,2.0444170768722465,0.1334,True
2,3,Stacy Keibler,False,Rank,4.636431784107946,7.0,2.068673672165665,0.1334,True
2,3,Jerry Rice,False,Rank,3.383808095952024,5.0,1.7823034870495353,0.1334,True
2,3,Giselle Fernandez,True,Rank,7.469265367316342,2.0,0.9581713817734641,0.1334,True
2,3,Master P,False,Rank,2.7023988005997,4.0,1.5817857296677467,0.1334,True
2,3,Drew Lachey,False,Rank,4.684407796101949,7.0,2.071985846048971,0.1334,True
2,4,Tia Carrere,False,Rank,3.8806802341789797,6.0,1.9424176311235481,0.3587,True
2,4,George Hamilton,False,Rank,2.8586562587120157,5.0,1.703560931508991,0.3587,True
2,4,Lisa Rinna,False,Rank,4.05045999442431,6.0,1.9374165505466385,0.3587,True
2,4,Stacy Keibler,False,Rank,3.9629216615556175,6.0,1.9437163218573237,0.3587,True
2,4,Jerry Rice,False,Rank,3.4156676888764985,6.0,1.8929220458165679,0.3587,True
2,4,Master P,True,Rank,5.788681349316978,4.0,1.408973593784132,0.3587,True
2,4,Drew Lachey,False,Rank,4.042932812935601,6.0,1.9413839855427686,0.3587,True
2,5,Tia Carrere,True,Rank,4.642029972752043,4.0,1.4798508342296086,0.5872,True
2,5,George Hamilton,False,Rank,3.0856607629427795,5.0,1.760689715470408,0.5872,True
2,5,Lisa Rinna,False,Rank,3.4541893732970026,5.0,1.7894661498078577,0.5872,True
2,5,Stacy Keibler,False,Rank,3.494380108991826,5.0,1.7867131239073564,0.5872,True
2,5,Jerry Rice,False,Rank,2.8416212534059944,5.0,1.7038285007379523,0.5872,True
2,5,Drew Lachey,False,Rank,3.4821185286103544,5.0,1.785583804924292,0.5872,True
2,6,George Hamilton,True,Rank,4.216123105190629,3.0,1.143741861889648,0.4354,True
2,6,Lisa Rinna,False,Rank,2.731051906293064,4.0,1.5807930340334957,0.4354,True
2,6,Stacy Keibler,False,Rank,2.9680753330271017,4.0,1.6059725883356981,0.4354,True
2,6,Jerry Rice,False,Rank,2.0792374827744604,3.0,1.306349773023354,0.4354,True
2,6,Drew Lachey,False,Rank,3.005512172714745,4.0,1.6061851395551952,0.4354,True
2,7,Lisa Rinna,True,Rank,3.5834498834498834,1.0,0.679154022168303,0.429,True
2,7,Stacy Keibler,False,Rank,2.3442890442890443,3.0,1.3702024311605143,0.429,True
2,7,Jerry Rice,False,Rank,1.7403263403263403,2.0,1.0377368129561306,0.429,True
2,7,Drew Lachey,False,Rank,2.331934731934732,3.0,1.3678153788169722,0.429,True
2,8,Stacy Keibler,False,Rank,2.0283,2.0,1.098009126202434,1.0,True
2,8,Jerry Rice,False,Rank,1.9386,2.0,1.0957597837123594,1.0,True
2,8,Drew Lachey,False,Rank,2.0331,2.0,1.0977189358108148,1.0,True
3,1,Harry Hamlin,False,Percentage,0.09957782674901818,0.3212713051512754,,0.3254,True
3,1,Vivica A. Fox,False,Percentage,0.09678199905482879,0.3272715083185558,,0.3254,True
3,1,Monique Coleman,False,Percentage,0.09637376287100667,0.31111914333712737,,0.3254,True
3,1,Joey Lawrence,False,Percentage,0.09597565652713196,0.3337908224322172,,0.3254,True
3,1,Mario Lopez,False,Percentage,0.09411584030379712,0.3163303601205541,,0.3254,True
3,1,Emmitt Smith,False,Percentage,0.09531157944077769,0.325148500069945,,0.3254,True
3,1,Shanna Moakler,False,Percentage,0.09848947174988931,0.3104904875029787,,0.3254,True
3,1,Willa Ford,False,Percentage,0.09670698184375527,0.33586623577657587,,0.3254,True
3,1,Sara Evans,False,Percentage,0.10475635407715998,0.31571209714392895,,0.3254,True
3,1,Jerry Springer,False,Percentage,0.1019635613301727,0.3374633464549827,,0.3254,True
3,1,Tucker Carlson,True,Percentage,0.019946966052462812,0.05190795677491433,,0.3254,True
3,2,Harry Hamlin,False,Percentage,0.10631970362410617,0.12556673750861153,,0.1055,True
3,2,Vivica A. Fox,False,Percentage,0.10269849951392866,0.13283404444241045,,0.1055,True
3,2,Monique Coleman,False,Percentage,0.10092410185091247,0.13260105747271983,,0.1055,True
3,2,Joey Lawrence,False,Percentage,0.10056882718813749,0.13958822562631404,,0.1055,True
3,2,Mario Lopez,False,Percentage,0.10539754275450632,0.12723076759885124,,0.1055,True
3,2,Emmitt Smith,False,Percentage,0.10298804218701892,0.13215459121975331,,0.1055,True
3,2,Shanna Moakler,True,Percentage,0.05196650675603869,0.04795589788520677,,0.1055,True
3,2,Willa Ford,False,Percentage,0.1030941749253976,0.1277264251285975,,0.1055,True
3,2,Sara Evans,False,Percentage,0.11263286894149206,0.13398359025029713,,0.1055,True
3,2,Jerry Springer,False,Percentage,0.11340973225846147,0.12403270138553439,,0.1055,True
3,3,Harry Hamlin,True,Percentage,0.06092116265655205,0.05403568223152038,,0.1193,True
3,3,Vivica A. Fox,False,Percentage,0.11180399201123165,0.1523292179442795,,0.1193,True
3,3,Monique Coleman,False,Percentage,0.11006827973953028,0.13868939911201536,,0.1193,True
3,3,Joey Lawrence,False,Percentage,0.11473350395373046,0.1295093814296544,,0.1193,True
3,3,Mario Lopez,False,Percentage,0.11815109211014208,0.1351993251396461,,0.1193,True
3,3,Emmitt Smith,False,Percentage,0.12103284297949536,0.12521158859690512,,0.1193,True
3,3,Willa Ford,False,Percentage,0.11613078853715769,0.13329169106343924,,0.1193,True
3,3,Sara Evans,False,Percentage,0.11964305075190665,0.13567942802084784,,0.1193,True
3,3,Jerry Springer,False,Percentage,0.1275152872602536,0.13979624652623734,,0.1193,True
3,4,Vivica A. Fox,True,Percentage,0.07062668405865488,0.059408240700379075,,0.161,True
3,4,Monique Coleman,False,Percentage,0.12627890662490876,0.13391248321971627,,0.161,True
3,4,Joey Lawrence,False,Percentage,0.12738853425620342,0.14421173128140297,,0.161,True
3,4,Mario Lopez,False,Percentage,0.12617615418853173,0.14941672771995174,,0.161,True
3,4,Emmitt Smith,False,Percentage,0.13400046352050762,0.13715089611843978,,0.161,True
3,4,Willa Ford,False,Percentage,0.12749790272555914,0.1488669257829145,,0.161,True
3,4,Sara Evans,False,Percentage,0.14356184815146322,0.13932997678601283,,0.161,True
3,4,Jerry Springer,False,Percentage,0.1444695064741711,0.14980613204379922,,0.161,True
3,5,Monique Coleman,False,Percentage,0.1458728088485387,0.1463103873362192,,0.1327,True
3,5,Joey Lawrence,False,Percentage,0.15049774950971864,0.14449653911470456,,0.1327,True
3,5,Mario Lopez,False,Percentage,0.1445536718830683,0.15087334278051368,,0.1327,True
3,5,Emmitt Smith,False,Percentage,0.15203859139235487,0.15057525308543557,,0.1327,True
3,5,Willa Ford,True,Percentage,0.08031865999571491,0.06320424873168298,,0.1327,True
3,5,Sara Evans,False,Percentage,0.16292307529388594,0.1555735268191039,,0.1327,True
3,5,Jerry Springer,False,Percentage,0.16379544307671878,0.1487537667272888,,0.1327,True
3,6,Monique Coleman,False,Percentage,0.19325660596393732,0.21393922822580702,,1.0,True
3,6,Joey Lawrence,False,Percentage,0.19962154624333237,0.21622502350595058,,1.0,True
3,6,Mario Lopez,False,Percentage,0.19117999638923264,0.21262319223948986,,1.0,True
3,6,Emmitt Smith,False,Percentage,0.2005576178746904,0.21560320717804093,,1.0,True
3,6,Jerry Springer,False,Percentage,0.21538423352880817,0.22339123250086024,,1.0,True
3,7,Monique Coleman,False,Percentage,0.21015539489731977,0.1665546511186292,,0.3083,True
3,7,Joey Lawrence,False,Percentage,0.2102831914179879,0.1728266984768765,,0.3083,True
3,7,Mario Lopez,False,Percentage,0.205677395877681,0.16427679820149477,,0.3083,True
3,7,Emmitt Smith,False,Percentage,0.21194715403989559,0.17386955937389773,,0.3083,True
3,7,Jerry Springer,True,Percentage,0.16193686376711594,0.09957620657057904,,0.3083,True
