season,week,celebrity,is_eliminated,rule_used,actual_judge_metric,est_fan_support_mean,est_fan_support_std,valid_samples_count
1,2,John O'Hurley,False,rank_simple,1.0,3.7486793986184477,1.5646774249496058,4922
1,2,Kelly Monaco,False,rank_simple,5.0,2.559325477448192,1.0921738665112934,4922
1,2,Evander Holyfield,False,rank_simple,6.0,1.8681430312880942,0.7850472810626165,4922
1,2,Rachel Hunter,False,rank_simple,2.0,3.748476229175132,1.5478690947892484,4922
1,2,Joey McIntyre,False,rank_simple,3.0,3.3354327509142623,1.3818937509575733,4922
1,2,Trista Sutter,True,rank_simple,4.0,5.7399431125558715,0.47040127942834337,4922
1,3,John O'Hurley,False,rank_simple,2.0,2.911587982832618,1.4058106155858605,23300
1,3,Kelly Monaco,False,rank_simple,4.0,2.0677682403433475,0.995008873696037,23300
1,3,Evander Holyfield,True,rank_simple,5.0,4.140815450643776,0.8757335247007598,23300
1,3,Rachel Hunter,False,rank_simple,1.0,2.9647210300429183,1.4585400526781982,23300
1,3,Joey McIntyre,False,rank_simple,3.0,2.915107296137339,1.397362356374023,23300
1,4,John O'Hurley,False,rank_simple,3.0,1.4969411764705882,0.49999064351107286,4250
1,4,Kelly Monaco,False,rank_simple,1.0,3.0,0.0,4250
1,4,Rachel Hunter,True,rank_simple,2.0,4.0,0.0,4250
1,4,Joey McIntyre,False,rank_simple,4.0,1.5030588235294118,0.49999064351107286,4250
2,1,Tatum O'Neal,False,rank_simple,2.5,5.467172608542182,2.8853364840865745,11332
2,1,Tia Carrere,False,rank_simple,6.0,5.302682668549241,2.7840216279497905,11332
2,1,George Hamilton,False,rank_simple,8.0,4.547652665019414,2.3891829483498617,11332
2,1,Lisa Rinna,False,rank_simple,7.0,5.042975644193435,2.65248138660571,11332
2,1,Stacy Keibler,False,rank_simple,4.0,5.5153547476173665,2.8559721283495954,11332
2,1,Jerry Rice,False,rank_simple,5.0,5.371955524179315,2.8457709388912553,11332
2,1,Giselle Fernandez,False,rank_simple,2.5,5.417843275679492,2.862918715757956,11332
2,1,Master P,False,rank_simple,10.0,3.9627603247440875,2.09630229426769,11332
2,1,Drew Lachey,False,rank_simple,1.0,5.4598482174373455,2.891964763929774,11332
2,1,Kenny Mayne,True,rank_simple,9.0,8.911754324038123,1.1344396230680576,11332
2,2,Tatum O'Neal,True,rank_simple,8.0,7.765800172477516,1.1804527881302762,16234
2,2,Tia Carrere,False,rank_simple,5.5,4.691634840458297,2.489281247507795,16234
2,2,George Hamilton,False,rank_simple,5.5,4.686768510533448,2.4951377859559303,16234
2,2,Lisa Rinna,False,rank_simple,7.0,4.354010102254527,2.374151696050995,16234
2,2,Stacy Keibler,False,rank_simple,1.0,4.898546260933842,2.5968003939564257,16234
2,2,Jerry Rice,False,rank_simple,4.0,4.875569791794998,2.553899093105093,16234
2,2,Giselle Fernandez,False,rank_simple,3.0,4.919551558457559,2.5927293639562725,16234
2,2,Master P,False,rank_simple,9.0,3.8767401749414807,2.0452614894399463,16234
2,2,Drew Lachey,False,rank_simple,2.0,4.9313785881483305,2.6110845367870708,16234
2,3,Tia Carrere,False,rank_simple,3.0,4.608750393452943,2.215326811055272,6354
2,3,George Hamilton,False,rank_simple,5.5,4.043279823733082,1.9461226735670625,6354
2,3,Lisa Rinna,False,rank_simple,4.0,4.47655020459553,2.181308339470183,6354
2,3,Stacy Keibler,False,rank_simple,1.5,4.660371419578219,2.2272202753155286,6354
2,3,Jerry Rice,False,rank_simple,7.0,3.3459238275102297,1.6361540956168434,6354
2,3,Giselle Fernandez,True,rank_simple,5.5,7.45955303745672,0.7235097380037064,6354
2,3,Master P,False,rank_simple,8.0,2.7223796033994336,1.3266046946248249,6354
2,3,Drew Lachey,False,rank_simple,1.5,4.683191690273843,2.257197938995851,6354
2,4,Tia Carrere,False,rank_simple,4.0,3.8042190969652108,1.9601618553334388,18914
2,4,George Hamilton,False,rank_simple,6.0,2.954372422544147,1.5232785949870333,18914
2,4,Lisa Rinna,False,rank_simple,2.5,3.920535053399598,2.008383141652714,18914
2,4,Stacy Keibler,False,rank_simple,2.5,3.9419477635613833,2.020831799876349,18914
2,4,Jerry Rice,False,rank_simple,5.0,3.503700962250185,1.8285425280589527,18914
2,4,Master P,True,rank_simple,7.0,5.932642487046632,1.0664747687116352,18914
2,4,Drew Lachey,False,rank_simple,1.0,3.9425822142328433,2.028057976072678,18914
2,5,Tia Carrere,True,rank_simple,6.0,4.66183798405467,1.1599101734292059,28096
2,5,George Hamilton,False,rank_simple,4.0,3.221775341685649,1.6648576702784295,28096
2,5,Lisa Rinna,False,rank_simple,3.0,3.396924829157175,1.7266945382775947,28096
2,5,Stacy Keibler,False,rank_simple,1.0,3.4419490318906605,1.7651407226482505,28096
2,5,Jerry Rice,False,rank_simple,5.0,2.868095102505695,1.5302934805915402,28096
2,5,Drew Lachey,False,rank_simple,2.0,3.4094177107061503,1.7592849607838723,28096
2,6,George Hamilton,True,rank_simple,4.5,4.223880597014926,0.8504531584500475,21641
2,6,Lisa Rinna,False,rank_simple,3.0,2.72441199574881,1.3146175361410544,21641
2,6,Stacy Keibler,False,rank_simple,1.5,2.982579363245691,1.447068845816662,21641
2,6,Jerry Rice,False,rank_simple,4.5,2.1140427891502243,1.011110186969132,21641
